"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.63799855869866","-7.89106326080447","-15.0292437935751","-20.1762879448727","-20.4782136117306","-21.9751034634072","-16.9355704119467","-15.7812102966465","-10.4398165717153","-6.2201045971038","-6.18119850537564","-2.20435917633131","-2.52832414562153","-2.39537289745615","-7.35660133782848","-14.2246479360543","-16.4837116405484","-13.6219482985734","-10.4403281934474","-9.96233164214969","-7.31624657065382","-7.76786633240124","-2.66180705584758","-0.956577968660235","-1.260724020147","-7.2281230237955","-7.05686573000043","-3.99777390668494","-3.47997395796116","0.331693235139525","-2.3097864408313","",
"American Samoa","ASM","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","-12.3876887784362","-2.49905338886785","-17.7943760984183","-14.1950278251629","-21.8908063076465","-24.9961054857016","-4.922959786812","0.28276199120296","-9.37711424834243","-39.7547768718491","-32.085384475744","-10.9479522107481","-17.9388070632273","-6.472877513598","-6.13162165933476","-1.8796992481203","2.66171646335475","-1.01502690147188","-0.0841730598109713","-8.75272687609075","-6.45078321212794","-5.92207694760735","-7.23217590396695","-7.93309633588914","-10.3896381286439","-9.42191145034348","-9.15952577529885","-6.31096353023543","-10.0023410341643","-19.8451375613264","-28.7537536170953","-21.6414513541268","-13.0528592261832","-10.8746896905601","-5.09688220358304","-8.34018612878931","-8.78109406191867","-0.0378931718702426","2.03355375207685","-2.38746823038994","-7.7154739119248","-13.9937660480859","-6.50941783211153","-15.5756632582072","-17.7899425259443","-15.6164808799734","-13.33181701592","",
"Australia","AUS","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-6.11589360326485","-4.98749064104478","-3.24753507309036","-3.16820291501697","-2.97613307646999","-4.91410236294231","-5.07087489384138","-3.58914507758023","-2.73400539962507","-4.44875288739197","-5.59363165883695","-3.72140115832283","-2.1038782912626","-4.04312576822905","-6.26582917008026","-6.71703905379547","-6.23018337430443","-6.18497324085113","-7.56503658273095","-4.88206185813593","-5.23144486271866","-4.00506862277956","-3.26400930085158","-4.44404469042498","-3.25799888383101","-3.09266163288854","-4.31257611103591","-3.6163121880746","-3.00161155039194","-2.56116066582786","-0.0207105142276053","1.87433748291951","2.61066078948374","0.337521409077968","-0.300085449771847","",
"Austria","AUT","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.98531598038444","3.29250867823428","3.8134882863575","4.49615698142083","2.58051083948132","2.94294851772084","1.58501011759763","1.51000017550336","1.75299233450364","2.31393875506261","1.58832680063968","2.57148776968201","1.24444591726667","0.908176708238319","2.38423045289808","3.3513779974929","1.71589946789047","-0.829086609771728","1.32556377170149","",
"Azerbaijan","AZE","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-16.5740632135158","-29.3146493832248","-23.1113389046322","-30.6884366040807","-13.0903833593547","-3.18196904183888","-0.906770850609527","-12.3213949554144","-27.7726673572238","-29.8282485551101","1.26319117280894","17.670467343915","27.289087539853","33.6793638921001","22.9720443124812","28.4268313519369","25.9957665612112","21.4925357741895","16.4935876692396","13.5683574038086","-0.419198909856565","-3.60050733417184","4.12208960991814","12.6823769245212","8.70455620187564","-0.740874280795449","14.9620003998682","29.7916946512237","11.5116198869156","",
"Burundi","BDI","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","-3.59026812582895","-3.00942472812131","-8.41652238216762","-6.47258561238188","-1.03144329893231","-6.13410034398202","-2.85038738673383","-5.50382096415844","-2.99542008499923","-1.82525676729153","1.04416596056391","-4.60400356055959","0.630045184343134","-5.44160419385012","-2.61184612113877","-5.76258887448881","-4.18720201167941","-0.397990063033964","-3.04630146043228","-3.53655815425186","-0.510079090142336","-10.4870448125811","-8.20727615108639","-16.0907343690621","-9.04769271099169","-14.8111210984709","-12.6836314052419","-11.1924151286239","-10.5412211637507","-15.8466721557505","-11.530480718165","-12.3789527310826","-13.7155221555246","-14.5912293655985","-15.2431972553408","-13.008651673299","-14.1897728146803","-18.6289555009173","-23.6774820885107","",
"Belgium","BEL","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.49803373016796","3.39723910068487","3.09695508992497","1.99655304871952","1.85028932301471","1.49569237465597","-0.831236474764241","1.80970941708578","1.52379368667185","-1.92887747556171","-0.0829864949097406","0.969084734716926","0.751219410488652","1.38017908454948","0.558076934849913","0.702363722625537","-0.874098516086552","0.123098549898876","0.874586400402743","1.86556031631373","-1.18476181705959","-0.698394105629197","",
"Benin","BEN","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","-5.27758581243235","-7.88628294719232","-9.2806423926268","-7.55459343244957","-9.7252385324635","-4.37113837101206","-2.54205714780005","-7.23139169626674","-29.7501201535724","-12.3059416482257","-5.4295665927609","-3.72498915262059","-3.95504630309012","-2.19467517811799","-6.51092410243577","-0.893468993243606","-0.925585932447161","-10.8930810294078","-4.28904687368759","-2.58299670414555","0.660280507734444","-7.69564346950043","-1.73457487701647","-6.78725035015034","-5.39739989943458","-4.2321738931756","-2.2949879315414","-2.04549532483075","-3.74152919965989","-6.20555050861218","-4.66878856732409","-3.44376642481128","-3.08778709107344","-6.54621938784527","-5.49862209196275","-6.69033181086781","-5.56723414879971","-4.83328626910556","-5.17832684720293","-5.37925541834664","-6.66790663014034","-5.96409317114647","-2.99669454901549","-4.18078963717339","-4.54919534814523","-3.99948140523511","-1.75041319714608","-4.15294312049827","-6.00907083608035","","",
"Burkina Faso","BFA","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.324323038401","-8.30763590093609","-7.3532133868453","-10.2315812376868","-4.03746065696801","-1.79655604009114","-1.32772267157687","-1.29204165999457","-10.0082857458856","-7.16454946786702","-7.56751200933841","-6.0796386850131","-6.35349497520963","-4.18372491409563","-3.26728197882863","4.1931251239965","0.392208859644244","-7.45988627329846","-5.00471780899738","",
